Table,Field,Type,Nullable,Default,Description,Category
User,employeeNumber,String,Yes,,Unique identifier from HR system linking MES user to employee record,Personnel Management
User,personnelClassId,String,Yes,,Links user to job classification determining access levels and capabilities,Personnel Management
User,hireDate,DateTime,Yes,,,Personnel Management
User,terminationDate,DateTime,Yes,,,Personnel Management
User,phone,String,Yes,,,Personnel Management
User,emergencyContact,String,Yes,,Emergency contact information required for manufacturing safety compliance,Personnel Management
User,emergencyPhone,String,Yes,,,Personnel Management
User,department,String,Yes,,,Personnel Management
User,supervisorId,String,Yes,,,Personnel Management
User,costCenter,String,Yes,,,Personnel Management
User,laborRate,Float,Yes,,,Personnel Management
User,auditLogs,AuditLog[],No,,,Personnel Management
User,generatedAuditReports,AuditReport[],No,,,Personnel Management
User,createdRoleTemplates,RoleTemplate[],No,,,Personnel Management
User,updatedRoleTemplates,RoleTemplate[],No,,,Personnel Management
User,instantiatedTemplates,RoleTemplateInstance[],No,,,Personnel Management
User,templateUsageLogsAsPerformer,RoleTemplateUsageLog[],No,,,Personnel Management
User,templateUsageLogsAsTarget,RoleTemplateUsageLog[],No,,,Personnel Management
User,authenticationEvents,AuthenticationEvent[],No,,,Personnel Management
User,dispatchedWorkOrders,DispatchLog[],No,,,Personnel Management
User,createdDocumentTemplates,DocumentTemplate[],No,,,Personnel Management
User,updatedDocumentTemplates,DocumentTemplate[],No,,,Personnel Management
User,invalidatedSignatures,ElectronicSignature[],No,,,Personnel Management
User,electronicSignatures,ElectronicSignature[],No,,,Personnel Management
User,equipmentLogs,EquipmentLog[],No,,,Personnel Management
User,inspectionExecutions,InspectionExecution[],No,,,Personnel Management
User,approvedInspectionPlans,InspectionPlan[],No,,,Personnel Management
User,createdInspectionPlans,InspectionPlan[],No,,,Personnel Management
User,updatedInspectionPlans,InspectionPlan[],No,,,Personnel Management
User,laborTimeEntries,LaborTimeEntry[],No,,,Personnel Management
User,assignedNcrs,NCR[],No,,,Personnel Management
User,ncrReports,NCR[],No,,,Personnel Management
User,permissionChangesChanger,PermissionChangeLog[],No,,,Personnel Management
User,permissionChangesTarget,PermissionChangeLog[],No,,,Personnel Management
User,permissionUsageLogs,PermissionUsageLog[],No,,,Personnel Management
User,availability,PersonnelAvailability[],No,,,Personnel Management
User,certifications,PersonnelCertification[],No,,,Personnel Management
User,skills,PersonnelSkillAssignment[],No,,,Personnel Management
User,workCenterAssignments,PersonnelWorkCenterAssignment[],No,,,Personnel Management
User,qualityInspections,QualityInspection[],No,,,Personnel Management
User,routingTemplates,RoutingTemplate[],No,,,Personnel Management
User,resolvedSecurityEvents,SecurityEvent[],No,,,Personnel Management
User,securityEvents,SecurityEvent[],No,,,Personnel Management
User,completedSetupExecutions,SetupExecution[],No,,,Personnel Management
User,startedSetupExecutions,SetupExecution[],No,,,Personnel Management
User,approvedSetupSheets,SetupSheet[],No,,,Personnel Management
User,createdSetupSheets,SetupSheet[],No,,,Personnel Management
User,updatedSetupSheets,SetupSheet[],No,,,Personnel Management
User,sopAcknowledgments,SOPAcknowledgment[],No,,,Personnel Management
User,sopAudits,SOPAudit[],No,,,Personnel Management
User,ssoSessions,SsoSession[],No,,,Personnel Management
User,approvedSOPs,StandardOperatingProcedure[],No,,,Personnel Management
User,createdSOPs,StandardOperatingProcedure[],No,,,Personnel Management
User,updatedSOPs,StandardOperatingProcedure[],No,,,Personnel Management
User,toolCalibrationRecords,ToolCalibrationRecord[],No,,,Personnel Management
User,approvedToolDrawings,ToolDrawing[],No,,,Personnel Management
User,createdToolDrawings,ToolDrawing[],No,,,Personnel Management
User,updatedToolDrawings,ToolDrawing[],No,,,Personnel Management
User,toolMaintenanceRecords,ToolMaintenanceRecord[],No,,,Personnel Management
User,toolUsageLogs,ToolUsageLog[],No,,,Personnel Management
User,userRoles,UserRole[],No,,,Personnel Management
User,userSessionLogs,UserSessionLog[],No,,,Personnel Management
User,userSiteRoles,UserSiteRole[],No,,,Personnel Management
User,personnelClass,PersonnelClass,Yes,,,Personnel Management
User,supervisor,User,Yes,,,Personnel Management
User,subordinates,User[],No,,,Personnel Management
User,workInstructionExecutions,WorkInstructionExecution[],No,,,Personnel Management
User,signedStepExecutions,WorkInstructionStepExecution[],No,,,Personnel Management
User,approvedWorkInstructions,WorkInstruction[],No,,,Personnel Management
User,createdWorkInstructions,WorkInstruction[],No,,,Personnel Management
User,updatedWorkInstructions,WorkInstruction[],No,,,Personnel Management
User,assignedWorkOrders,WorkOrder[],No,,,Personnel Management
User,createdWorkOrders,WorkOrder[],No,,,Personnel Management
User,workPerformanceRecords,WorkPerformance[],No,,,Personnel Management
PersonnelClass,id,String,No,cuid(,,Personnel Management
PersonnelClass,classCode,String,No,,,Personnel Management
PersonnelClass,className,String,No,,,Personnel Management
PersonnelClass,description,String,Yes,,,Personnel Management
PersonnelClass,level,Int,No,,,Personnel Management
PersonnelClass,parentClassId,String,Yes,,,Personnel Management
PersonnelClass,isActive,Boolean,No,true,,Personnel Management
PersonnelClass,createdAt,DateTime,No,now(,,Personnel Management
PersonnelClass,updatedAt,DateTime,No,,,Personnel Management
PersonnelClass,parentClass,PersonnelClass,Yes,,,Personnel Management
PersonnelClass,childClasses,PersonnelClass[],No,,,Personnel Management
PersonnelClass,qualifications,PersonnelQualification[],No,,,Personnel Management
PersonnelClass,personnel,User[],No,,,Personnel Management
PersonnelQualification,id,String,No,cuid(,,Other
PersonnelQualification,qualificationCode,String,No,,,Other
PersonnelQualification,qualificationName,String,No,,,Other
PersonnelQualification,description,String,Yes,,,Other
PersonnelQualification,qualificationType,QualificationType,No,,,Other
PersonnelQualification,issuingOrganization,String,Yes,,,Other
PersonnelQualification,validityPeriodMonths,Int,Yes,,,Other
PersonnelQualification,requiresRenewal,Boolean,No,auto,,Other
PersonnelQualification,personnelClassId,String,Yes,,,Other
PersonnelQualification,isActive,Boolean,No,true,,Other
PersonnelQualification,createdAt,DateTime,No,now(,,Other
PersonnelQualification,updatedAt,DateTime,No,,,Other
PersonnelQualification,certifications,PersonnelCertification[],No,,,Other
PersonnelQualification,personnelClass,PersonnelClass,Yes,,,Other
PersonnelCertification,id,String,No,cuid(,,Other
PersonnelCertification,personnelId,String,No,,,Other
PersonnelCertification,qualificationId,String,No,,,Other
PersonnelCertification,certificationNumber,String,Yes,,,Other
PersonnelCertification,issuedDate,DateTime,No,,,Other
PersonnelCertification,expirationDate,DateTime,Yes,,,Other
PersonnelCertification,status,CertificationStatus,No,ACTIVE,,Other
PersonnelCertification,attachmentUrls,String[],No,,,Other
PersonnelCertification,verifiedBy,String,Yes,,,Other
PersonnelCertification,verifiedAt,DateTime,Yes,,,Other
PersonnelCertification,notes,String,Yes,,,Other
PersonnelCertification,createdAt,DateTime,No,now(,,Other
PersonnelCertification,updatedAt,DateTime,No,,,Other
PersonnelCertification,personnel,User,No,,,Other
PersonnelCertification,qualification,PersonnelQualification,No,,,Other
PersonnelSkill,id,String,No,cuid(,,Other
PersonnelSkill,skillCode,String,No,,,Other
PersonnelSkill,skillName,String,No,,,Other
PersonnelSkill,description,String,Yes,,,Other
PersonnelSkill,skillCategory,SkillCategory,No,,,Other
PersonnelSkill,isActive,Boolean,No,true,,Other
PersonnelSkill,createdAt,DateTime,No,now(,,Other
PersonnelSkill,updatedAt,DateTime,No,,,Other
PersonnelSkill,skillAssignments,PersonnelSkillAssignment[],No,,,Other
PersonnelSkillAssignment,id,String,No,cuid(,,Other
PersonnelSkillAssignment,personnelId,String,No,,,Other
PersonnelSkillAssignment,skillId,String,No,,,Other
PersonnelSkillAssignment,competencyLevel,CompetencyLevel,No,,,Other
PersonnelSkillAssignment,assessedBy,String,Yes,,,Other
PersonnelSkillAssignment,assessedAt,DateTime,Yes,,,Other
PersonnelSkillAssignment,lastUsedDate,DateTime,Yes,,,Other
PersonnelSkillAssignment,certifiedDate,DateTime,Yes,,,Other
PersonnelSkillAssignment,notes,String,Yes,,,Other
PersonnelSkillAssignment,createdAt,DateTime,No,now(,,Other
PersonnelSkillAssignment,updatedAt,DateTime,No,,,Other
PersonnelSkillAssignment,personnel,User,No,,,Other
PersonnelSkillAssignment,skill,PersonnelSkill,No,,,Other
PersonnelWorkCenterAssignment,id,String,No,cuid(,,Core Infrastructure
PersonnelWorkCenterAssignment,personnelId,String,No,,,Core Infrastructure
PersonnelWorkCenterAssignment,workCenterId,String,No,,,Core Infrastructure
PersonnelWorkCenterAssignment,isPrimary,Boolean,No,auto,,Core Infrastructure
PersonnelWorkCenterAssignment,effectiveDate,DateTime,No,now(,,Core Infrastructure
PersonnelWorkCenterAssignment,endDate,DateTime,Yes,,,Core Infrastructure
PersonnelWorkCenterAssignment,certifiedDate,DateTime,Yes,,,Core Infrastructure
PersonnelWorkCenterAssignment,notes,String,Yes,,,Core Infrastructure
PersonnelWorkCenterAssignment,createdAt,DateTime,No,now(,,Core Infrastructure
PersonnelWorkCenterAssignment,updatedAt,DateTime,No,,,Core Infrastructure
PersonnelWorkCenterAssignment,personnel,User,No,,,Core Infrastructure
PersonnelWorkCenterAssignment,workCenter,WorkCenter,No,,,Core Infrastructure
PersonnelAvailability,id,String,No,cuid(,,Other
PersonnelAvailability,personnelId,String,No,,,Other
PersonnelAvailability,availabilityType,AvailabilityType,No,,,Other
PersonnelAvailability,startDateTime,DateTime,No,,,Other
PersonnelAvailability,endDateTime,DateTime,No,,,Other
PersonnelAvailability,shiftCode,String,Yes,,,Other
PersonnelAvailability,isRecurring,Boolean,No,auto,,Other
PersonnelAvailability,recurrenceRule,String,Yes,,,Other
PersonnelAvailability,reason,String,Yes,,,Other
PersonnelAvailability,approvedBy,String,Yes,,,Other
PersonnelAvailability,approvedAt,DateTime,Yes,,,Other
PersonnelAvailability,notes,String,Yes,,,Other
PersonnelAvailability,createdAt,DateTime,No,now(,,Other
PersonnelAvailability,updatedAt,DateTime,No,,,Other
PersonnelAvailability,personnel,User,No,,,Other
MaterialClass,id,String,No,cuid(,,Material Management
MaterialClass,classCode,String,No,,,Material Management
MaterialClass,className,String,No,,,Material Management
MaterialClass,description,String,Yes,,,Material Management
MaterialClass,level,Int,No,,,Material Management
MaterialClass,parentClassId,String,Yes,,,Material Management
MaterialClass,requiresLotTracking,Boolean,No,true,,Material Management
MaterialClass,requiresSerialTracking,Boolean,No,auto,,Material Management
MaterialClass,requiresExpirationDate,Boolean,No,auto,,Material Management
MaterialClass,shelfLifeDays,Int,Yes,,,Material Management
MaterialClass,storageRequirements,String,Yes,,,Material Management
MaterialClass,handlingInstructions,String,Yes,,,Material Management
MaterialClass,isActive,Boolean,No,true,,Material Management
MaterialClass,createdAt,DateTime,No,now(,,Material Management
MaterialClass,updatedAt,DateTime,No,,,Material Management
MaterialClass,parentClass,MaterialClass,Yes,,,Material Management
MaterialClass,childClasses,MaterialClass[],No,,,Material Management
MaterialClass,materials,MaterialDefinition[],No,,,Material Management
MaterialDefinition,id,String,No,cuid(,,Material Management
MaterialDefinition,materialNumber,String,No,,,Material Management
MaterialDefinition,materialName,String,No,,,Material Management
MaterialDefinition,description,String,Yes,,,Material Management
MaterialDefinition,materialClassId,String,No,,,Material Management
MaterialDefinition,baseUnitOfMeasure,String,No,,,Material Management
MaterialDefinition,alternateUnitOfMeasure,String,Yes,,,Material Management
MaterialDefinition,conversionFactor,Float,Yes,,,Material Management
MaterialDefinition,materialType,MaterialType,No,,,Material Management
MaterialDefinition,materialGrade,String,Yes,,,Material Management
MaterialDefinition,specification,String,Yes,,,Material Management
MaterialDefinition,minimumStock,Float,Yes,,,Material Management
MaterialDefinition,reorderPoint,Float,Yes,,,Material Management
MaterialDefinition,reorderQuantity,Float,Yes,,,Material Management
MaterialDefinition,leadTimeDays,Int,Yes,,,Material Management
MaterialDefinition,requiresLotTracking,Boolean,No,true,,Material Management
MaterialDefinition,lotNumberFormat,String,Yes,,,Material Management
MaterialDefinition,defaultShelfLifeDays,Int,Yes,,,Material Management
MaterialDefinition,standardCost,Float,Yes,,,Material Management
MaterialDefinition,currency,String,Yes,USD,,Material Management
MaterialDefinition,requiresInspection,Boolean,No,auto,,Material Management
MaterialDefinition,inspectionFrequency,String,Yes,,,Material Management
MaterialDefinition,primarySupplierId,String,Yes,,,Material Management
MaterialDefinition,supplierPartNumber,String,Yes,,,Material Management
MaterialDefinition,drawingNumber,String,Yes,,,Material Management
MaterialDefinition,revision,String,Yes,,,Material Management
MaterialDefinition,msdsUrl,String,Yes,,,Material Management
MaterialDefinition,imageUrl,String,Yes,,,Material Management
MaterialDefinition,isActive,Boolean,No,true,,Material Management
MaterialDefinition,isPhantom,Boolean,No,auto,,Material Management
MaterialDefinition,isObsolete,Boolean,No,auto,,Material Management
MaterialDefinition,obsoleteDate,DateTime,Yes,,,Material Management
MaterialDefinition,replacementMaterialId,String,Yes,,,Material Management
MaterialDefinition,createdAt,DateTime,No,now(,,Material Management
MaterialDefinition,updatedAt,DateTime,No,,,Material Management
MaterialDefinition,materialClass,MaterialClass,No,,,Material Management
MaterialDefinition,replacementMaterial,MaterialDefinition,Yes,,,Material Management
MaterialDefinition,replacedMaterials,MaterialDefinition[],No,,,Material Management
MaterialDefinition,lots,MaterialLot[],No,,,Material Management
MaterialDefinition,properties,MaterialProperty[],No,,,Material Management
MaterialProperty,id,String,No,cuid(,,Material Management
MaterialProperty,materialId,String,No,,,Material Management
MaterialProperty,propertyName,String,No,,,Material Management
MaterialProperty,propertyType,MaterialPropertyType,No,,,Material Management
MaterialProperty,propertyValue,String,No,,,Material Management
MaterialProperty,propertyUnit,String,Yes,,,Material Management
MaterialProperty,testMethod,String,Yes,,,Material Management
MaterialProperty,nominalValue,Float,Yes,,,Material Management
MaterialProperty,minValue,Float,Yes,,,Material Management
MaterialProperty,maxValue,Float,Yes,,,Material Management
MaterialProperty,isRequired,Boolean,No,auto,,Material Management
MaterialProperty,isCritical,Boolean,No,auto,,Material Management
MaterialProperty,notes,String,Yes,,,Material Management
MaterialProperty,createdAt,DateTime,No,now(,,Material Management
MaterialProperty,updatedAt,DateTime,No,,,Material Management
MaterialProperty,material,MaterialDefinition,No,,,Material Management
MaterialLot,id,String,No,cuid(,,Material Management
MaterialLot,lotNumber,String,No,,Unique identifier for a specific lot or batch of material with complete traceability,Material Management
MaterialLot,materialId,String,No,,,Material Management
MaterialLot,supplierLotNumber,String,Yes,,Original lot or batch number from the material supplier for upstream traceability,Material Management
MaterialLot,purchaseOrderNumber,String,Yes,,,Material Management
MaterialLot,heatNumber,String,Yes,,,Material Management
MaterialLot,serialNumber,String,Yes,,,Material Management
MaterialLot,originalQuantity,Float,No,,,Material Management
MaterialLot,currentQuantity,Float,No,,,Material Management
MaterialLot,unitOfMeasure,String,No,,,Material Management
MaterialLot,location,String,Yes,,,Material Management
MaterialLot,warehouseId,String,Yes,,,Material Management
MaterialLot,manufactureDate,DateTime,Yes,,,Material Management
MaterialLot,receivedDate,DateTime,No,,,Material Management
MaterialLot,expirationDate,DateTime,Yes,,Date when material lot expires or becomes unsuitable for use in production,Material Management
MaterialLot,shelfLifeDays,Int,Yes,,,Material Management
MaterialLot,firstUsedDate,DateTime,Yes,,,Material Management
MaterialLot,lastUsedDate,DateTime,Yes,,,Material Management
MaterialLot,status,MaterialLotStatus,No,AVAILABLE,,Material Management
MaterialLot,state,MaterialLotState,No,RECEIVED,,Material Management
MaterialLot,isQuarantined,Boolean,No,auto,,Material Management
MaterialLot,quarantineReason,String,Yes,,,Material Management
MaterialLot,quarantinedAt,DateTime,Yes,,,Material Management
MaterialLot,qualityStatus,QualityLotStatus,No,PENDING,,Material Management
MaterialLot,inspectionId,String,Yes,,,Material Management
MaterialLot,certificationUrls,String[],No,,,Material Management
MaterialLot,supplierId,String,Yes,,,Material Management
MaterialLot,supplierName,String,Yes,,,Material Management
MaterialLot,manufacturerId,String,Yes,,,Material Management
MaterialLot,manufacturerName,String,Yes,,,Material Management
MaterialLot,countryOfOrigin,String,Yes,,,Material Management
MaterialLot,unitCost,Float,Yes,,,Material Management
MaterialLot,totalCost,Float,Yes,,,Material Management
MaterialLot,currency,String,Yes,USD,,Material Management
MaterialLot,parentLotId,String,Yes,,,Material Management
MaterialLot,isSplit,Boolean,No,auto,,Material Management
MaterialLot,isMerged,Boolean,No,auto,,Material Management
MaterialLot,notes,String,Yes,,,Material Management
MaterialLot,customAttributes,Json,Yes,,,Material Management
MaterialLot,createdAt,DateTime,No,now(,,Material Management
MaterialLot,updatedAt,DateTime,No,,,Material Management
MaterialLot,genealogyAsChild,MaterialLotGenealogy[],No,,,Material Management
MaterialLot,genealogyAsParent,MaterialLotGenealogy[],No,,,Material Management
MaterialLot,material,MaterialDefinition,No,,,Material Management
MaterialLot,parentLot,MaterialLot,Yes,,,Material Management
MaterialLot,childLots,MaterialLot[],No,,,Material Management
MaterialLot,stateHistory,MaterialStateHistory[],No,,,Material Management
MaterialLot,sublots,MaterialSublot[],No,,,Material Management
MaterialSublot,id,String,No,cuid(,,Material Management
MaterialSublot,sublotNumber,String,No,,,Material Management
MaterialSublot,parentLotId,String,No,,,Material Management
MaterialSublot,operationType,SublotOperationType,No,,,Material Management
MaterialSublot,quantity,Float,No,,,Material Management
MaterialSublot,unitOfMeasure,String,No,,,Material Management
MaterialSublot,workOrderId,String,Yes,,,Material Management
MaterialSublot,operationId,String,Yes,,,Material Management
MaterialSublot,reservedFor,String,Yes,,,Material Management
MaterialSublot,location,String,Yes,,,Material Management
MaterialSublot,status,MaterialLotStatus,No,AVAILABLE,,Material Management
MaterialSublot,isActive,Boolean,No,true,,Material Management
MaterialSublot,splitReason,String,Yes,,,Material Management
MaterialSublot,createdById,String,Yes,,,Material Management
MaterialSublot,createdAt,DateTime,No,now(,,Material Management
MaterialSublot,updatedAt,DateTime,No,,,Material Management
MaterialSublot,parentLot,MaterialLot,No,,,Material Management
MaterialLotGenealogy,id,String,No,cuid(,,Material Management
MaterialLotGenealogy,parentLotId,String,No,,,Material Management
MaterialLotGenealogy,childLotId,String,No,,,Material Management
MaterialLotGenealogy,relationshipType,GenealogyRelationType,No,,,Material Management
MaterialLotGenealogy,quantityConsumed,Float,No,,,Material Management
MaterialLotGenealogy,quantityProduced,Float,Yes,,,Material Management
MaterialLotGenealogy,unitOfMeasure,String,No,,,Material Management
MaterialLotGenealogy,workOrderId,String,Yes,,,Material Management
MaterialLotGenealogy,operationId,String,Yes,,,Material Management
MaterialLotGenealogy,processDate,DateTime,No,,,Material Management
MaterialLotGenealogy,operatorId,String,Yes,,,Material Management
MaterialLotGenealogy,notes,String,Yes,,,Material Management
MaterialLotGenealogy,createdAt,DateTime,No,now(,,Material Management
MaterialLotGenealogy,childLot,MaterialLot,No,,,Material Management
MaterialLotGenealogy,parentLot,MaterialLot,No,,,Material Management
MaterialStateHistory,id,String,No,cuid(,,Material Management
MaterialStateHistory,lotId,String,No,,,Material Management
MaterialStateHistory,previousState,MaterialLotState,Yes,,,Material Management
MaterialStateHistory,newState,MaterialLotState,No,,,Material Management
MaterialStateHistory,previousStatus,MaterialLotStatus,Yes,,,Material Management
MaterialStateHistory,newStatus,MaterialLotStatus,Yes,,,Material Management
MaterialStateHistory,reason,String,Yes,,,Material Management
MaterialStateHistory,transitionType,StateTransitionType,No,,,Material Management
MaterialStateHistory,quantity,Float,Yes,,,Material Management
MaterialStateHistory,unitOfMeasure,String,Yes,,,Material Management
MaterialStateHistory,workOrderId,String,Yes,,,Material Management
MaterialStateHistory,operationId,String,Yes,,,Material Management
MaterialStateHistory,inspectionId,String,Yes,,,Material Management
MaterialStateHistory,changedById,String,Yes,,,Material Management
MaterialStateHistory,changedAt,DateTime,No,now(,,Material Management
MaterialStateHistory,fromLocation,String,Yes,,,Material Management
MaterialStateHistory,toLocation,String,Yes,,,Material Management
MaterialStateHistory,qualityNotes,String,Yes,,,Material Management
MaterialStateHistory,notes,String,Yes,,,Material Management
MaterialStateHistory,metadata,Json,Yes,,,Material Management
MaterialStateHistory,createdAt,DateTime,No,now(,,Material Management
MaterialStateHistory,lot,MaterialLot,No,,,Material Management
Operation,id,String,No,cuid(,,Production Management
Operation,description,String,Yes,,,Production Management
Operation,siteId,String,Yes,,,Production Management
Operation,isStandardOperation,Boolean,No,auto,,Production Management
Operation,operationCode,String,No,,,Production Management
Operation,operationName,String,No,,,Production Management
Operation,operationClassification,OperationClassification,Yes,,,Production Management
Operation,standardWorkInstructionId,String,Yes,,,Production Management
Operation,level,Int,No,1,,Production Management
Operation,parentOperationId,String,Yes,,,Production Management
Operation,operationType,OperationType,No,,,Production Management
Operation,category,String,Yes,,,Production Management
Operation,duration,Int,Yes,,,Production Management
Operation,setupTime,Int,Yes,,,Production Management
Operation,teardownTime,Int,Yes,,,Production Management
Operation,minCycleTime,Int,Yes,,,Production Management
Operation,maxCycleTime,Int,Yes,,,Production Management
Operation,version,String,No,1.0,,Production Management
Operation,effectiveDate,DateTime,Yes,,,Production Management
Operation,expirationDate,DateTime,Yes,,,Production Management
Operation,isActive,Boolean,No,true,,Production Management
Operation,requiresApproval,Boolean,No,auto,,Production Management
Operation,approvedBy,String,Yes,,,Production Management
Operation,approvedAt,DateTime,Yes,,,Production Management
Operation,createdAt,DateTime,No,now(,,Production Management
Operation,updatedAt,DateTime,No,,,Production Management
Operation,bomItems,BOMItem[],No,,,Production Management
Operation,equipmentSpecs,EquipmentOperationSpecification[],No,,,Production Management
Operation,materialSpecs,MaterialOperationSpecification[],No,,,Production Management
Operation,dependencies,OperationDependency[],No,,,Production Management
Operation,prerequisiteFor,OperationDependency[],No,,,Production Management
Operation,parameters,OperationParameter[],No,,,Production Management
Operation,parentOperation,Operation,Yes,,,Production Management
Operation,childOperations,Operation[],No,,,Production Management
Operation,site,Site,Yes,,,Production Management
Operation,standardWorkInstruction,WorkInstruction,Yes,,,Production Management
Operation,personnelSpecs,PersonnelOperationSpecification[],No,,,Production Management
Operation,assetSpecs,PhysicalAssetOperationSpecification[],No,,,Production Management
Operation,routingSteps,RoutingStep[],No,,,Production Management
Operation,samplingPlans,SamplingPlan[],No,,,Production Management
OperationParameter,id,String,No,cuid(,,Production Management
OperationParameter,operationId,String,No,,,Production Management
OperationParameter,parameterName,String,No,,,Production Management
OperationParameter,parameterType,ParameterType,No,,,Production Management
OperationParameter,dataType,ParameterDataType,No,,,Production Management
OperationParameter,defaultValue,String,Yes,,,Production Management
OperationParameter,unitOfMeasure,String,Yes,,,Production Management
OperationParameter,minValue,Float,Yes,,,Production Management
OperationParameter,maxValue,Float,Yes,,,Production Management
OperationParameter,allowedValues,String[],No,,,Production Management
OperationParameter,isRequired,Boolean,No,auto,,Production Management
OperationParameter,isCritical,Boolean,No,auto,,Production Management
OperationParameter,requiresVerification,Boolean,No,auto,,Production Management
OperationParameter,displayOrder,Int,Yes,,,Production Management
OperationParameter,notes,String,Yes,,,Production Management
OperationParameter,createdAt,DateTime,No,now(,,Production Management
OperationParameter,updatedAt,DateTime,No,,,Production Management
OperationParameter,parameterGroupId,String,Yes,,,Production Management
OperationParameter,operation,Operation,No,,,Production Management
OperationParameter,parameterGroup,ParameterGroup,Yes,,,Production Management
OperationParameter,formula,ParameterFormula,Yes,,,Production Management
OperationParameter,limits,ParameterLimits,Yes,,,Production Management
OperationParameter,samplingPlans,SamplingPlan[],No,,,Production Management
OperationParameter,spcConfiguration,SPCConfiguration,Yes,,,Production Management
ParameterLimits,id,String,No,cuid(,,Other
ParameterLimits,parameterId,String,No,,,Other
ParameterLimits,engineeringMin,Float,Yes,,,Other
ParameterLimits,engineeringMax,Float,Yes,,,Other
ParameterLimits,operatingMin,Float,Yes,,,Other
ParameterLimits,operatingMax,Float,Yes,,,Other
ParameterLimits,LSL,Float,Yes,,,Other
ParameterLimits,USL,Float,Yes,,,Other
ParameterLimits,nominalValue,Float,Yes,,,Other
ParameterLimits,highHighAlarm,Float,Yes,,,Other
ParameterLimits,highAlarm,Float,Yes,,,Other
ParameterLimits,lowAlarm,Float,Yes,,,Other
ParameterLimits,lowLowAlarm,Float,Yes,,,Other
ParameterLimits,createdAt,DateTime,No,now(,,Other
ParameterLimits,updatedAt,DateTime,No,,,Other
