Table Name,Field Name,Data Type,Category,Priority,Description,Business Purpose,Example Values,Constraints,Business Rules,Compliance Notes,Related Fields
User,updatedDocumentTemplates,DocumentTemplate,Other,high,"Reference to DocumentTemplate entity","Establishes relationship with DocumentTemplate for personnel management operations",""documenttemplate-001"; "documenttemplate-123"","NOT NULL","","",""
User,invalidatedSignatures,ElectronicSignature,Other,high,"Reference to ElectronicSignature entity","Establishes relationship with ElectronicSignature for personnel management operations",""electronicsignature-001"; "electronicsignature-123"","NOT NULL","","",""
User,electronicSignatures,ElectronicSignature,Other,high,"Reference to ElectronicSignature entity","Establishes relationship with ElectronicSignature for personnel management operations",""electronicsignature-001"; "electronicsignature-123"","NOT NULL","","",""
User,equipmentLogs,EquipmentLog,Other,high,"Reference to EquipmentLog entity","Establishes relationship with EquipmentLog for personnel management operations",""equipmentlog-001"; "equipmentlog-123"","NOT NULL","","",""
User,inspectionExecutions,InspectionExecution,Quality,high,"Quality inspection related data","Tracks quality control processes and compliance with manufacturing standards",""PASS"; "FAIL"; "IN_PROGRESS"; "PENDING_REVIEW"","Must be valid inspection result; Auditable; NOT NULL","","",""
User,approvedInspectionPlans,InspectionPlan,Other,high,"Reference to InspectionPlan entity","Establishes relationship with InspectionPlan for personnel management operations",""inspectionplan-001"; "inspectionplan-123"","NOT NULL","","",""
User,createdInspectionPlans,InspectionPlan,Other,high,"Reference to InspectionPlan entity","Establishes relationship with InspectionPlan for personnel management operations",""inspectionplan-001"; "inspectionplan-123"","NOT NULL","","",""
User,updatedInspectionPlans,InspectionPlan,Other,high,"Reference to InspectionPlan entity","Establishes relationship with InspectionPlan for personnel management operations",""inspectionplan-001"; "inspectionplan-123"","NOT NULL","","",""
User,laborTimeEntries,LaborTimeEntry,Other,high,"Reference to LaborTimeEntry entity","Establishes relationship with LaborTimeEntry for personnel management operations",""labortimeentry-001"; "labortimeentry-123"","NOT NULL","","",""
User,assignedNcrs,NCR,Other,high,"Reference to NCR entity","Establishes relationship with NCR for personnel management operations",""ncr-001"; "ncr-123"","NOT NULL","","",""
User,ncrReports,NCR,Other,high,"Reference to NCR entity","Establishes relationship with NCR for personnel management operations",""ncr-001"; "ncr-123"","NOT NULL","","",""
User,permissionChangesChanger,PermissionChangeLog,Other,high,"Reference to PermissionChangeLog entity","Establishes relationship with PermissionChangeLog for personnel management operations",""permissionchangelog-001"; "permissionchangelog-123"","NOT NULL","","",""
User,permissionChangesTarget,PermissionChangeLog,Other,high,"Reference to PermissionChangeLog entity","Establishes relationship with PermissionChangeLog for personnel management operations",""permissionchangelog-001"; "permissionchangelog-123"","NOT NULL","","",""
User,permissionUsageLogs,PermissionUsageLog,Other,high,"Reference to PermissionUsageLog entity","Establishes relationship with PermissionUsageLog for personnel management operations",""permissionusagelog-001"; "permissionusagelog-123"","NOT NULL","","",""
User,availability,PersonnelAvailability,Other,high,"Reference to PersonnelAvailability entity","Establishes relationship with PersonnelAvailability for personnel management operations",""personnelavailability-001"; "personnelavailability-123"","NOT NULL","","",""
User,certifications,PersonnelCertification,Other,high,"Reference to PersonnelCertification entity","Establishes relationship with PersonnelCertification for personnel management operations",""personnelcertification-001"; "personnelcertification-123"","NOT NULL","","",""
User,skills,PersonnelSkillAssignment,Other,high,"Reference to PersonnelSkillAssignment entity","Establishes relationship with PersonnelSkillAssignment for personnel management operations",""personnelskillassignment-001"; "personnelskillassignment-123"","NOT NULL","","",""
User,workCenterAssignments,PersonnelWorkCenterAssignment,Other,high,"Reference to PersonnelWorkCenterAssignment entity","Establishes relationship with PersonnelWorkCenterAssignment for personnel management operations",""personnelworkcenterassignment-001"; "personnelworkcenterassignment-123"","NOT NULL","","",""
User,qualityInspections,QualityInspection,Other,high,"Reference to QualityInspection entity","Establishes relationship with QualityInspection for personnel management operations",""qualityinspection-001"; "qualityinspection-123"","NOT NULL","","",""
User,routingTemplates,RoutingTemplate,Other,high,"Reference to RoutingTemplate entity","Establishes relationship with RoutingTemplate for personnel management operations",""routingtemplate-001"; "routingtemplate-123"","NOT NULL","","",""
User,resolvedSecurityEvents,SecurityEvent,Other,high,"Reference to SecurityEvent entity","Establishes relationship with SecurityEvent for personnel management operations",""securityevent-001"; "securityevent-123"","NOT NULL","","",""
User,securityEvents,SecurityEvent,Other,high,"Reference to SecurityEvent entity","Establishes relationship with SecurityEvent for personnel management operations",""securityevent-001"; "securityevent-123"","NOT NULL","","",""
User,completedSetupExecutions,SetupExecution,Other,high,"Reference to SetupExecution entity","Establishes relationship with SetupExecution for personnel management operations",""setupexecution-001"; "setupexecution-123"","NOT NULL","","",""
User,startedSetupExecutions,SetupExecution,Other,high,"Reference to SetupExecution entity","Establishes relationship with SetupExecution for personnel management operations",""setupexecution-001"; "setupexecution-123"","NOT NULL","","",""
User,approvedSetupSheets,SetupSheet,Other,high,"Reference to SetupSheet entity","Establishes relationship with SetupSheet for personnel management operations",""setupsheet-001"; "setupsheet-123"","NOT NULL","","",""
User,createdSetupSheets,SetupSheet,Other,high,"Reference to SetupSheet entity","Establishes relationship with SetupSheet for personnel management operations",""setupsheet-001"; "setupsheet-123"","NOT NULL","","",""
User,updatedSetupSheets,SetupSheet,Other,high,"Reference to SetupSheet entity","Establishes relationship with SetupSheet for personnel management operations",""setupsheet-001"; "setupsheet-123"","NOT NULL","","",""
User,sopAcknowledgments,SOPAcknowledgment,Other,high,"Reference to SOPAcknowledgment entity","Establishes relationship with SOPAcknowledgment for personnel management operations",""sopacknowledgment-001"; "sopacknowledgment-123"","NOT NULL","","",""
User,sopAudits,SOPAudit,Other,high,"Reference to SOPAudit entity","Establishes relationship with SOPAudit for personnel management operations",""sopaudit-001"; "sopaudit-123"","NOT NULL","","",""
User,ssoSessions,SsoSession,Other,high,"Reference to SsoSession entity","Establishes relationship with SsoSession for personnel management operations",""ssosession-001"; "ssosession-123"","NOT NULL","","",""
User,approvedSOPs,StandardOperatingProcedure,Other,high,"Reference to StandardOperatingProcedure entity","Establishes relationship with StandardOperatingProcedure for personnel management operations",""standardoperatingprocedure-001"; "standardoperatingprocedure-123"","NOT NULL","","",""
User,createdSOPs,StandardOperatingProcedure,Other,high,"Reference to StandardOperatingProcedure entity","Establishes relationship with StandardOperatingProcedure for personnel management operations",""standardoperatingprocedure-001"; "standardoperatingprocedure-123"","NOT NULL","","",""
User,updatedSOPs,StandardOperatingProcedure,Other,high,"Reference to StandardOperatingProcedure entity","Establishes relationship with StandardOperatingProcedure for personnel management operations",""standardoperatingprocedure-001"; "standardoperatingprocedure-123"","NOT NULL","","",""
User,toolCalibrationRecords,ToolCalibrationRecord,Other,high,"Reference to ToolCalibrationRecord entity","Establishes relationship with ToolCalibrationRecord for personnel management operations",""toolcalibrationrecord-001"; "toolcalibrationrecord-123"","NOT NULL","","",""
User,approvedToolDrawings,ToolDrawing,Other,high,"Reference to ToolDrawing entity","Establishes relationship with ToolDrawing for personnel management operations",""tooldrawing-001"; "tooldrawing-123"","NOT NULL","","",""
User,createdToolDrawings,ToolDrawing,Other,high,"Reference to ToolDrawing entity","Establishes relationship with ToolDrawing for personnel management operations",""tooldrawing-001"; "tooldrawing-123"","NOT NULL","","",""
User,updatedToolDrawings,ToolDrawing,Other,high,"Reference to ToolDrawing entity","Establishes relationship with ToolDrawing for personnel management operations",""tooldrawing-001"; "tooldrawing-123"","NOT NULL","","",""
User,toolMaintenanceRecords,ToolMaintenanceRecord,Other,high,"Reference to ToolMaintenanceRecord entity","Establishes relationship with ToolMaintenanceRecord for personnel management operations",""toolmaintenancerecord-001"; "toolmaintenancerecord-123"","NOT NULL","","",""
User,toolUsageLogs,ToolUsageLog,Other,high,"Reference to ToolUsageLog entity","Establishes relationship with ToolUsageLog for personnel management operations",""toolusagelog-001"; "toolusagelog-123"","NOT NULL","","",""
User,userRoles,UserRole,Other,high,"Reference to UserRole entity","Establishes relationship with UserRole for personnel management operations",""userrole-001"; "userrole-123"","NOT NULL","","",""
User,userSessionLogs,UserSessionLog,Other,high,"Reference to UserSessionLog entity","Establishes relationship with UserSessionLog for personnel management operations",""usersessionlog-001"; "usersessionlog-123"","NOT NULL","","",""
User,userSiteRoles,UserSiteRole,Other,high,"Reference to UserSiteRole entity","Establishes relationship with UserSiteRole for personnel management operations",""usersiterole-001"; "usersiterole-123"","NOT NULL","","",""
User,personnelClass,PersonnelClass,Other,high,"Reference to PersonnelClass entity","Establishes relationship with PersonnelClass for personnel management operations",""personnelclass-001"; "personnelclass-123"","","","",""
User,supervisor,User,Other,high,"Reference to User entity","Establishes relationship with User for personnel management operations",""user-001"; "user-123"","","","",""
User,subordinates,User,Other,high,"Reference to User entity","Establishes relationship with User for personnel management operations",""user-001"; "user-123"","NOT NULL","","",""
User,departmentRelation,Department,Other,high,"Reference to Department entity","Establishes relationship with Department for personnel management operations",""department-001"; "department-123"","","","",""
User,managedDepartment,Department,Other,high,"Reference to Department entity","Establishes relationship with Department for personnel management operations",""department-001"; "department-123"","","","",""
User,workInstructionExecutions,WorkInstructionExecution,Other,high,"Reference to WorkInstructionExecution entity","Establishes relationship with WorkInstructionExecution for personnel management operations",""workinstructionexecution-001"; "workinstructionexecution-123"","NOT NULL","","",""
User,signedStepExecutions,WorkInstructionStepExecution,Other,high,"Reference to WorkInstructionStepExecution entity","Establishes relationship with WorkInstructionStepExecution for personnel management operations",""workinstructionstepexecution-001"; "workinstructionstepexecution-123"","NOT NULL","","",""
User,approvedWorkInstructions,WorkInstruction,Other,high,"Reference to WorkInstruction entity","Establishes relationship with WorkInstruction for personnel management operations",""workinstruction-001"; "workinstruction-123"","NOT NULL","","",""
User,createdWorkInstructions,WorkInstruction,Other,high,"Reference to WorkInstruction entity","Establishes relationship with WorkInstruction for personnel management operations",""workinstruction-001"; "workinstruction-123"","NOT NULL","","",""
User,updatedWorkInstructions,WorkInstruction,Other,high,"Reference to WorkInstruction entity","Establishes relationship with WorkInstruction for personnel management operations",""workinstruction-001"; "workinstruction-123"","NOT NULL","","",""
User,assignedWorkOrders,WorkOrder,Other,high,"Reference to WorkOrder entity","Establishes relationship with WorkOrder for personnel management operations",""workorder-001"; "workorder-123"","NOT NULL","","",""
User,createdWorkOrders,WorkOrder,Other,high,"Reference to WorkOrder entity","Establishes relationship with WorkOrder for personnel management operations",""workorder-001"; "workorder-123"","NOT NULL","","",""
User,workPerformanceRecords,WorkPerformance,Other,high,"Reference to WorkPerformance entity","Establishes relationship with WorkPerformance for personnel management operations",""workperformance-001"; "workperformance-123"","NOT NULL","","",""
User,createdTorqueSpecs,TorqueSpecification,Other,high,"Reference to TorqueSpecification entity","Establishes relationship with TorqueSpecification for personnel management operations",""torquespecification-001"; "torquespecification-123"","NOT NULL","","",""
User,approvedTorqueSpecs,TorqueSpecification,Other,high,"Reference to TorqueSpecification entity","Establishes relationship with TorqueSpecification for personnel management operations",""torquespecification-001"; "torquespecification-123"","NOT NULL","","",""
User,torqueEventOperations,TorqueEvent,Other,high,"Reference to TorqueEvent entity","Establishes relationship with TorqueEvent for personnel management operations",""torqueevent-001"; "torqueevent-123"","NOT NULL","","",""
User,torqueEventSupervisions,TorqueEvent,Other,high,"Reference to TorqueEvent entity","Establishes relationship with TorqueEvent for personnel management operations",""torqueevent-001"; "torqueevent-123"","NOT NULL","","",""
User,torqueEventReworks,TorqueEvent,Other,high,"Reference to TorqueEvent entity","Establishes relationship with TorqueEvent for personnel management operations",""torqueevent-001"; "torqueevent-123"","NOT NULL","","",""
User,kitsCreated,Kit,Other,high,"Reference to Kit entity","Establishes relationship with Kit for personnel management operations",""kit-001"; "kit-123"","NOT NULL","","",""
User,kitsStaged,Kit,Other,high,"Reference to Kit entity","Establishes relationship with Kit for personnel management operations",""kit-001"; "kit-123"","NOT NULL","","",""
User,kitsIssued,Kit,Other,high,"Reference to Kit entity","Establishes relationship with Kit for personnel management operations",""kit-001"; "kit-123"","NOT NULL","","",""
User,vendorKitInspections,VendorKitInspection,Other,high,"Reference to VendorKitInspection entity","Establishes relationship with VendorKitInspection for personnel management operations",""vendorkitinspection-001"; "vendorkitinspection-123"","NOT NULL","","",""
User,vendorKitHistory,VendorKitHistory,Other,high,"Reference to VendorKitHistory entity","Establishes relationship with VendorKitHistory for personnel management operations",""vendorkithistory-001"; "vendorkithistory-123"","NOT NULL","","",""
User,kitsReceived,Kit,Other,high,"Reference to Kit entity","Establishes relationship with Kit for personnel management operations",""kit-001"; "kit-123"","NOT NULL","","",""
User,kitsReturned,Kit,Other,high,"Reference to Kit entity","Establishes relationship with Kit for personnel management operations",""kit-001"; "kit-123"","NOT NULL","","",""
User,kitStatusChanges,KitStatusHistory,Other,high,"Reference to KitStatusHistory entity","Establishes relationship with KitStatusHistory for personnel management operations",""kitstatushistory-001"; "kitstatushistory-123"","NOT NULL","","",""
User,shortageAlertsAssigned,KitShortageAlert,Other,high,"Reference to KitShortageAlert entity","Establishes relationship with KitShortageAlert for personnel management operations",""kitshortagealert-001"; "kitshortagealert-123"","NOT NULL","","",""
User,shortageAlertsResolved,KitShortageAlert,Other,high,"Reference to KitShortageAlert entity","Establishes relationship with KitShortageAlert for personnel management operations",""kitshortagealert-001"; "kitshortagealert-123"","NOT NULL","","",""
User,expeditRequestsCreated,ExpeditRequest,Other,high,"Reference to ExpeditRequest entity","Establishes relationship with ExpeditRequest for personnel management operations",""expeditrequest-001"; "expeditrequest-123"","NOT NULL","","",""
User,expeditRequestsApproved,ExpeditRequest,Other,high,"Reference to ExpeditRequest entity","Establishes relationship with ExpeditRequest for personnel management operations",""expeditrequest-001"; "expeditrequest-123"","NOT NULL","","",""
User,supplierCommunicationsSent,SupplierCommunication,Other,high,"Reference to SupplierCommunication entity","Establishes relationship with SupplierCommunication for personnel management operations",""suppliercommunication-001"; "suppliercommunication-123"","NOT NULL","","",""
User,shortageResolutionsCreated,ShortageResolution,Other,high,"Reference to ShortageResolution entity","Establishes relationship with ShortageResolution for personnel management operations",""shortageresolution-001"; "shortageresolution-123"","NOT NULL","","",""
User,expeditStatusChanges,ExpeditStatusHistory,Other,high,"Reference to ExpeditStatusHistory entity","Establishes relationship with ExpeditStatusHistory for personnel management operations",""expeditstatushistory-001"; "expeditstatushistory-123"","NOT NULL","","",""
User,oidcSessions,OidcSession,Other,high,"Reference to OidcSession entity","Establishes relationship with OidcSession for personnel management operations",""oidcsession-001"; "oidcsession-123"","NOT NULL","","",""
User,samlSessions,SamlSession,Other,high,"Reference to SamlSession entity","Establishes relationship with SamlSession for personnel management operations",""samlsession-001"; "samlsession-123"","NOT NULL","","",""
User,saviyntUserMapping,SaviyntUserMapping,Other,high,"Reference to SaviyntUserMapping entity","Establishes relationship with SaviyntUserMapping for personnel management operations",""saviyntusermapping-001"; "saviyntusermapping-123"","","","",""
User,buildRecordsCreated,BuildRecord,Other,high,"Reference to BuildRecord entity","Establishes relationship with BuildRecord for personnel management operations",""buildrecord-001"; "buildrecord-123"","NOT NULL","","",""
User,buildRecordsAssigned,BuildRecord,Other,high,"Reference to BuildRecord entity","Establishes relationship with BuildRecord for personnel management operations",""buildrecord-001"; "buildrecord-123"","NOT NULL","","",""
User,buildRecordsQualityApproved,BuildRecord,Other,high,"Reference to BuildRecord entity","Establishes relationship with BuildRecord for personnel management operations",""buildrecord-001"; "buildrecord-123"","NOT NULL","","",""
User,buildRecordsEngineeringApproved,BuildRecord,Other,high,"Reference to BuildRecord entity","Establishes relationship with BuildRecord for personnel management operations",""buildrecord-001"; "buildrecord-123"","NOT NULL","","",""
User,operationOperator,BuildRecordOperation,Other,high,"Reference to BuildRecordOperation entity","Establishes relationship with BuildRecordOperation for personnel management operations",""buildrecordoperation-001"; "buildrecordoperation-123"","NOT NULL","","",""
User,operationInspector,BuildRecordOperation,Other,high,"Reference to BuildRecordOperation entity","Establishes relationship with BuildRecordOperation for personnel management operations",""buildrecordoperation-001"; "buildrecordoperation-123"","NOT NULL","","",""
User,operationEngineeringApprover,BuildRecordOperation,Other,high,"Reference to BuildRecordOperation entity","Establishes relationship with BuildRecordOperation for personnel management operations",""buildrecordoperation-001"; "buildrecordoperation-123"","NOT NULL","","",""
User,deviationsDetected,BuildDeviation,Other,high,"Reference to BuildDeviation entity","Establishes relationship with BuildDeviation for personnel management operations",""builddeviation-001"; "builddeviation-123"","NOT NULL","","",""
User,deviationsEngineeringApproved,BuildDeviation,Other,high,"Reference to BuildDeviation entity","Establishes relationship with BuildDeviation for personnel management operations",""builddeviation-001"; "builddeviation-123"","NOT NULL","","",""
User,deviationsQualityApproved,BuildDeviation,Other,high,"Reference to BuildDeviation entity","Establishes relationship with BuildDeviation for personnel management operations",""builddeviation-001"; "builddeviation-123"","NOT NULL","","",""
User,deviationsClosed,BuildDeviation,Other,high,"Reference to BuildDeviation entity","Establishes relationship with BuildDeviation for personnel management operations",""builddeviation-001"; "builddeviation-123"","NOT NULL","","",""
User,photosCaptured,BuildRecordPhoto,Other,high,"Reference to BuildRecordPhoto entity","Establishes relationship with BuildRecordPhoto for personnel management operations",""buildrecordphoto-001"; "buildrecordphoto-123"","NOT NULL","","",""
User,photosApproved,BuildRecordPhoto,Other,high,"Reference to BuildRecordPhoto entity","Establishes relationship with BuildRecordPhoto for personnel management operations",""buildrecordphoto-001"; "buildrecordphoto-123"","NOT NULL","","",""
User,photosRejected,BuildRecordPhoto,Other,high,"Reference to BuildRecordPhoto entity","Establishes relationship with BuildRecordPhoto for personnel management operations",""buildrecordphoto-001"; "buildrecordphoto-123"","NOT NULL","","",""
User,documentsUploaded,BuildRecordDocument,Other,high,"Reference to BuildRecordDocument entity","Establishes relationship with BuildRecordDocument for personnel management operations",""buildrecorddocument-001"; "buildrecorddocument-123"","NOT NULL","","",""
User,documentsApproved,BuildRecordDocument,Other,high,"Reference to BuildRecordDocument entity","Establishes relationship with BuildRecordDocument for personnel management operations",""buildrecorddocument-001"; "buildrecorddocument-123"","NOT NULL","","",""
User,statusChanges,BuildRecordStatusHistory,Other,high,"Reference to BuildRecordStatusHistory entity","Establishes relationship with BuildRecordStatusHistory for personnel management operations",""buildrecordstatushistory-001"; "buildrecordstatushistory-123"","NOT NULL","","",""
User,buildRecordSignatures,BuildRecordSignature,Other,high,"Reference to BuildRecordSignature entity","Establishes relationship with BuildRecordSignature for personnel management operations",""buildrecordsignature-001"; "buildrecordsignature-123"","NOT NULL","","",""
User,buildRecordInvalidatedSignatures,BuildRecordSignature,Other,high,"Reference to BuildRecordSignature entity","Establishes relationship with BuildRecordSignature for personnel management operations",""buildrecordsignature-001"; "buildrecordsignature-123"","NOT NULL","","",""
User,timeEntryEditsCreated,TimeEntryEdit,Other,high,"Reference to TimeEntryEdit entity","Establishes relationship with TimeEntryEdit for personnel management operations",""timeentryedit-001"; "timeentryedit-123"","NOT NULL","","",""
User,timeEntryEditsApproved,TimeEntryEdit,Other,high,"Reference to TimeEntryEdit entity","Establishes relationship with TimeEntryEdit for personnel management operations",""timeentryedit-001"; "timeentryedit-123"","NOT NULL","","",""
User,timeEntryApprovals,TimeEntryApproval,Other,high,"Reference to TimeEntryApproval entity","Establishes relationship with TimeEntryApproval for personnel management operations",""timeentryapproval-001"; "timeentryapproval-123"","NOT NULL","","",""
User,timeEntryBatchesSubmitted,TimeEntryBatch,Other,high,"Reference to TimeEntryBatch entity","Establishes relationship with TimeEntryBatch for personnel management operations",""timeentrybatch-001"; "timeentrybatch-123"","NOT NULL","","",""
User,timeEntryBatchesApproved,TimeEntryBatch,Other,high,"Reference to TimeEntryBatch entity","Establishes relationship with TimeEntryBatch for personnel management operations",""timeentrybatch-001"; "timeentrybatch-123"","NOT NULL","","",""
User,timeEntryLocks,TimeEntryLock,Other,high,"Reference to TimeEntryLock entity","Establishes relationship with TimeEntryLock for personnel management operations",""timeentrylock-001"; "timeentrylock-123"","NOT NULL","","",""
User,createdInterchangeabilityGroups,PartInterchangeabilityGroup,Other,high,"Reference to PartInterchangeabilityGroup entity","Establishes relationship with PartInterchangeabilityGroup for personnel management operations",""partinterchangeabilitygroup-001"; "partinterchangeabilitygroup-123"","NOT NULL","","",""
User,createdPartSubstitutions,PartSubstitution,Other,high,"Reference to PartSubstitution entity","Establishes relationship with PartSubstitution for personnel management operations",""partsubstitution-001"; "partsubstitution-123"","NOT NULL","","",""
User,requestedApprovals,InterchangeabilityApproval,Other,high,"Reference to InterchangeabilityApproval entity","Establishes relationship with InterchangeabilityApproval for personnel management operations",""interchangeabilityapproval-001"; "interchangeabilityapproval-123"","NOT NULL","","",""
User,approvedApprovals,InterchangeabilityApproval,Other,high,"Reference to InterchangeabilityApproval entity","Establishes relationship with InterchangeabilityApproval for personnel management operations",""interchangeabilityapproval-001"; "interchangeabilityapproval-123"","NOT NULL","","",""
User,approvedSubstitutions,WorkOrderPartSubstitution,Other,high,"Reference to WorkOrderPartSubstitution entity","Establishes relationship with WorkOrderPartSubstitution for personnel management operations",""workorderpartsubstitution-001"; "workorderpartsubstitution-123"","NOT NULL","","",""
User,createdSubstitutions,WorkOrderPartSubstitution,Other,high,"Reference to WorkOrderPartSubstitution entity","Establishes relationship with WorkOrderPartSubstitution for personnel management operations",""workorderpartsubstitution-001"; "workorderpartsubstitution-123"","NOT NULL","","",""
User,auditLogActions,InterchangeabilityAuditLog,Other,high,"Reference to InterchangeabilityAuditLog entity","Establishes relationship with InterchangeabilityAuditLog for personnel management operations",""interchangeabilityauditlog-001"; "interchangeabilityauditlog-123"","NOT NULL","","",""
User,temporalAccessLogs,TemporalAccessLog,Other,high,"Reference to TemporalAccessLog entity","Establishes relationship with TemporalAccessLog for personnel management operations",""temporalaccesslog-001"; "temporalaccesslog-123"","NOT NULL","","",""
User,firstName,String,Personnel,medium,"Person or entity name","Human-readable identification for users, customers, suppliers, and entities",""John"; "Doe"; "Quality Control Lab"; "Supplier ABC Corp"","NOT NULL; Max length: 100 characters; NOT NULL; UNIQUE","","GDPR: Personal Identifiable Information (PII) - requires privacy protection",""
User,lastName,String,Personnel,medium,"Person or entity name","Human-readable identification for users, customers, suppliers, and entities",""John"; "Doe"; "Quality Control Lab"; "Supplier ABC Corp"","NOT NULL; Max length: 100 characters; NOT NULL; UNIQUE","","GDPR: Personal Identifiable Information (PII) - requires privacy protection",""
User,isActive,Boolean,Status,medium,"Boolean flag indicating if the record is currently active","Simple active/inactive toggle for enabling/disabling entities in business processes","true; false","NOT NULL; Default: true; NOT NULL","","",""
User,hireDate,DateTime,Temporal,medium,"Date value for scheduling or tracking","Manages scheduling, deadlines, and temporal business rules",""2024-10-30T10:00:00Z"; "2024-11-15T17:00:00Z"","DateTime format; Must be valid date; NOT NULL for audit fields","","","timeZone; calendar"
User,terminationDate,DateTime,Temporal,medium,"Date value for scheduling or tracking","Manages scheduling, deadlines, and temporal business rules",""2024-10-30T10:00:00Z"; "2024-11-15T17:00:00Z"","DateTime format; Must be valid date; NOT NULL for audit fields","","","timeZone; calendar"
User,username,String,Other,low,"Username information","Supports personnel management operations by tracking username for User entities",""Example username"; "Sample username"; "Test username"","NOT NULL; UNIQUE","","",""
User,passwordHash,String,Other,low,"Password hash information","Supports personnel management operations by tracking password hash for User entities",""Example password hash"; "Sample password hash"; "Test password hash"","NOT NULL; UNIQUE","","",""
User,roles,String,Other,low,"Roles information","Supports personnel management operations by tracking roles for User entities",""Example roles"; "Sample roles"; "Test roles"","NOT NULL; UNIQUE","","",""
User,permissions,String,Other,low,"Permissions information","Supports personnel management operations by tracking permissions for User entities",""Example permissions"; "Sample permissions"; "Test permissions"","NOT NULL; UNIQUE","","",""
User,lastLoginAt,DateTime,Temporal,low,"Date and time for last login at","Supports personnel management operations by tracking last login at for User entities",""2024-10-30T10:00:00Z"; "2024-10-30T14:30:00Z"","NOT NULL for audit fields","","",""
